tgrep.id,entire.sentence,,Most difficult when comparing clauses or things that didn't fit the same type. Also determining if certain adjective noun pairs were units sometimes made it difficult to know if nouns or adjectives were being compared. ,,Use,Notes,,,"for closest verb that wraps ///OR/// then categorize past, present, future"
27846:151,"uh, and my family now knows if they come into my study and, uh, i happen to have had a tough day at work and maybe i'm trying to get a project done, uh, at school, uh, and i'm humming ///OR/// whistling in a sort of mad crazy way the tune to downtown they knowb to just stay away,",VP,,,,,,,
135320:83,"well and then, you think, well, how did they do it out in the real world anyway when these fish are in the tropicals ///OR/// wherever they are kind of trying to keep up with that,",NP,,,,,,,
33076:56,"well, um, i think it would probably depend on whether this was a formal ///OR/// a informal dinner party.",AP,,,,,,,
104851:51,so occasionally i'll bring whatever i've got laying around the car ///OR/// the like and throw them in there.,NP,,,,,,,
31268:79,"the people that took, you know, the lower level courses, i sometimes wondered, you know, are they really even educatable ///OR/// trainable",AP,,,,,,,
36975:25,"if they can get the army, ///OR/// the military to sway to their side, i think that, uh, it will be on the way out eventually.",N,,,,,,,
151327:145,"well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs ///OR/// not taking drugs.",OrNot,,,,,,,
122789:26,"uh, i was down at about four ///OR/// five quite awhile ago.",Num,,,,,,,
13834:72,"maybe we'll see a growth in that where someone makes a career out of, say, taking care of five ///OR/// six children as opposed to day care.",Num,,,,,,,
107871:41,"uh, i'm not sure if i'm familiar with that, ///OR/// not.",OrNot,,,,,,,
139930:62,"uh, well, um, first off we'd probably wind up with a, a cat ///OR/// maybe a puppy.",NP,,,,,,,
6939:40,"see they make money off of it, whether you use it ///OR/// not.",OrNot,,,,,,,
13998:38,"the parents kind of pushed them to join, like the boy scouts ///OR/// girl scouts",AP,,,,,,,
31223:100,"in fact, i think that's, that's one of the big problems today is the, the way the kids behave ///OR/// act and, and the way they are sometimes disinterested in what's going on in the class and disruptive.",VP,,,,,,,
37749:72,"we're going to talk about the public school system, what's wrong with it, an, ///OR/// if anything is wrong with it and what we can do about it, what should be done about it.",Sentence,,,,,,,
69146:19,we've been two ///OR/// three times and probably go back again this winter.,Num,,,,,,,
31200:26,"it was told to me ///OR/// suggested to me, uh, that to work as a teacher in the public school systems in the state of texas, and i think it's similar in, in many other states, if you have a degree in a technical field you do not need a teaching certificate because there is such a shortage of, uh, people to teach math and sciences.",VP,,,,,,,
69440:43,"i had, i've had, uh, two ///OR/// three drug tests that i had to get before i could start working at a job uh, different jobs.",Num,,,,,,,
98870:28,"in this country, and for example with alcohol ///OR/// with drugs is, we don't seemd to understand how to handle it as a society to say okay, it is okay under these circumstances, but if you step outside these bounds, the punishment is extreme.",N,,,,,,,
176348:81,"but where it's not necessary, uh, in that regard, where it's not an immediate threat to life and limb ///OR/// property uh, i, i'd, i would seriously question it.",N,,,,,,,
151277:32,and i'm not sure if our policy covers that ///OR/// not.,OrNot,,,,,,,
99734:100,"and, you know, so many times when you were trying to schedule outdoor activities, you just never knew if it was going to be a go ///OR/// not because of the weather.",OrNot,,,,,,,
153376:44,"so frank, what, uh, type of, uh, budget do you ///OR/// your family have.",NP,,,,,,,
92409:51,"i would, i would spend all my time in london, ///OR/// most of my time,",AP,,,,,,,
120047:15,"you're either liberal ///OR/// you're conservative,",AP,,,,,,,
168860:102,"wel-, i guess it kind of borders on where, i mean what do you valued more. the invasion of, uh, the person's privacy ///OR/// the possible danger to, you know, other people.",NP,,,,,,,
42077:97,"but gosh, you know, we're keeping, you know we're, we're keeping these men in prison for fifteen ///OR/// twenty years on death row, and not doing anything with them,",Num,,,,,,,
18522:67,"they don't, they don't even starte growing until may, may ///OR/// april, like after it's been raining for a few months.",N,,,,,,,
2420:30,i need to probably make a phone call ///OR/// two.,Num,,,,,,,
51368:32,"i mean, i've been to like thirty ///OR/// forty games each of the last few years.",Num,,,,,,,
130777:64,"it kind of reminds me of using an a t m card, you know, to get money ///OR/// doing your banking.",VP,,,,,,,
138826:8,two ///OR/// three years in with them you can start buying stock,Num,,,,,,,
67430:26,"i usually, you know, fifteen ///OR/// twenty.",Num,,,,,,,
28170:152,"because if he saw mom doing only that you know, all the time he was growing up then it's hard to think of it in that, other, uh, that i should do it ///OR/// just to think about doing it rather than having someone tell him to do it.",VP,,,,,,,
9072:53,"well, i was just going to say, it's a little over six ///OR/// seven minutes.",Num,,,,,,,
94853:37,"you know, i wonder if that's a root problem ///OR/// not,",OrNot,,,,,,,
57177:94,"and, uh, you know, whenever he was going to school, he was expecting to having to wear, uh, a tie ///OR/// a dress shirt everyday.",NP,,,,,,,
172822:16,"at thirty-three hundred dollars ///OR/// thirty-five hundred dollars i'm paying in taxes, why i, i could go down to bulverde and probably rent a, rent a house for that, right.",Num,,,,,,,
132601:54,"well, it, it's just like having taxes on, ///OR/// exemptions for kids, you know.",NP ,,,,,,,
94770:69,"and again, it's not, it's not cheap to rent the lodge up there ///OR/// the meeting room down in the cabins and such,",NP,,,,,,,
113845:53,"the biggest, you know, the biggest outlaid expense has always been either wars ///OR/// defense.",N,,,,,,,
152986:22,"just, uh, stays away ///OR/// runs usually.",VP,,,,,,,
176099:48,"we never really, you know, have to program money for that ///OR/// make choices, you know.",VP,,,,,,,
170868:28,"if they're associated with a college ///OR/// a university, they're usually a pretty good bet.",N,,,,,,,
76810:84,"and, uh, itc's too bad that all this stuff is just being thrownf into a data base, and that none of the ideas ///OR/// thoughts are being used at all.",N,,,,,,,
157526:224,"some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so, so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for ///OR/// a hung jury because the one vote doesn't mean anything except the ability to not have a verdict.",NP,,,,,,,
81549:27,"because we saw it, probably, four ///OR/// five months ago.",Num,,,,,,,
163718:34,"but they're not in it to say anything ///OR/// give a message which is what they were do-,",VP,,,,,,,
149345:54,"well, do you live, you, you in a house, ///OR/// a place where you, uh,",NP,,,,,,,
40595:16,"it took us two ///OR/// three different people to find,",Num,,,,,,,
160448:28,i just catch the major ones off the news ///OR/// if someone starts to talk about it.,Mismatch,,,,,,,
10220:22,"that, you know, may ///OR/// may not happen.",OrNot,,,,,,,
51019:56,"i, i know the government sells information to private companies about individuals ///OR/// families.",N,,,,,,,
31385:27,"otherwise, he might have been driving trucks ///OR/// framing houses, you know, from here to eternity.",NP,,,,,,,
56899:10,like three ///OR/// four percent of australians don't vote,Num,,,,,,,
139942:19,"uh, had a hamster ///OR/// two,",Num,,,,,,,
84819:49,"i mean, in all the tourist brochures you read about what you should ///OR/// should not do.",OrNot,,,,,,,
24421:57,"and it, and if it's possible even get some experience at it ///OR/// at least watch some people do it.",VP,,,,,,,
109263:30,"so depending on what your major is, ///OR/// medical, you might want to atteck-, some, um, attend somewhere like tech",Mismatch,,,,,,,
155977:76,"and i know that's not due to, uh, it's not due to, to gasoline ///OR/// to, you know, carbon monoxide so much as the c f c --s",NP,,,,,,,
11323:99,"that's what i do with a lot of my daughter's things is i'll store her, you know, like her out dated or, out of, out of season clothes in them",AP,,,,,,,
162850:90,"and you, and you don't always even know if it's, it's going to be the right place ///OR/// not.",OrNot,,,,,,,
1433:51,"i mean people will just look at you as a person and not as a man ///OR/// a woman,",N,,,,,,,
108299:58,"but when i don't need to dress up for a, a meeting ///OR/// a service of some sort, i don't.",NP,,,,,,,
83845:40,"how did you put that many miles on it, in, four ///OR/// five years.",Num,,,,,,,
18302:57,"i think it's, i think it only has about five ///OR/// six more years to go because it's a, it's a really old bush,",Num,,,,,,,
151762:61,"it's burned so completely, that you don't have any, uh, nitrous oxides, uh, ///OR/// oxides of nitrogen, uh, to, uh, form because of, by virtue of the very combustion process of the diesel engine, because diesel oil is, uh, is not very volatile. you know, where gasoline, if you leave a little pail of gasoline out before long it's gone.",NP,,,,,,,
169950:101,"i used to initially think that the only people who went into such residences were people who, uh, were adequately deficient in their abilities, uh physical ///OR/// mental, that they couldn't take care of themselves.",AP,,,,,,,
153841:35,"and sometimes i'll read like the, uh, wall street ///OR/// the new york times.",NP,,,,,,,
4535:29,"and more and more people start believing them ///OR/// wondering how to combine them with other things,",VP,,,,,,,
114774:25,and just as we're preparing dinner ///OR/// eating dinner the phone rings,VP,,,,,,,
19641:195,"and, uh, the last, uh, i'm embarrassed to say the last, you know, honest to gosh, cover to cover book that i read, i can not, right offhand, i tried to read, uh, one of the, the michener, uh, lone star ///OR/// the, the texas history book.",AP,,,,,,,
52648:55,"i would like to see some, some kind of reform, ///OR/// some kind of streamlining so that, if a person is, um, convicted, and sentenced to, to death, that that automatic appeal which goes in could be more quickly dealt with.",NP,,,,,,,
62433:170,"and maybe rather than just, require somebody to join like the peace corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required to do some kind of community service type work, and help people in that area ///OR/// people in the united states.",NP,,,,,,,
62541:16,"but for the last four ///OR/// five years i've had eye problem,",Num,,,,,,,
75445:52,these days they have these tiny little things that are only about the size of two ///OR/// three pencils,Num,,,,,,,
89472:46,"and then, oh, let's see, there's a couple ///OR/// three that i would like to go see before they go into videos.",Num,,,,,,,
92223:8,"two ///OR/// three times a year you'll get a news bull-,",Num,,,,,,,
95326:46,"but she said, let's go ahead and send him another day, ///OR/// two days,",Num,,,,,,,
104214:48,"so, um, i always think it's a nice break from the traditional organ ///OR/// piano.",N,,,,,,,
104819:118,"--ing seems to be a, a topic that's going to probably take about a generation to, uh, catch on, it seems, ///OR/// maybe a generation to two.",Num,,,,,,,
108224:44,"but then we're back to being warmer than normal this week, ///OR/// last week,",AP,,,,,,,
160003:12,"it's whether ///OR/// not you're a resident for that jurisdiction,",OrNot,,,,,,,
170974:61,and so i'm just grateful that we don't have to worry so much about my working ///OR/// not.,OrNot,,,,,,,
175379:45,"see, wh-, when you're with a big company ///OR/// a big organization, a lot of times, uh, you know, the benefits are good",N,,,,,,,
46192:69,"but then at the ver-, in the fourth quarter they'd let them get up there either with them or, you know, right ahead of them.",PP,,,,,,,
34204:16,it was about four ///OR/// five years ago.,Num,,,,,,,
20118:86,"you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, ///OR/// immigrant families on both sides.",NP,,,,,,,
128305:35,"occasionally, some ice skating will come on, on a sunday ///OR/// during the olympics",PP,,,,,,,
76421:21,"i think in this area ///OR/// most all areas they use, you know, for ticks and fleas.",NP,,,,,,,
104342:42,"and i couldn't tell whether some parts of town had started it ///OR/// if it was just everybody was, was waiting for the delivery of whatever those containers were.",Sentence,,,,,,,
29161:24,"she could either have taken tennis, ///OR/// weight lifting",NP,,,,,,,
152408:21,are you talking about with criminal ///OR/// civil suits.,AP,,,,,,,
106499:91,"and that, the other major factor is that she needs blood transfusions every week to ten days, and would have to be hospitalized a day ///OR/// two,",Num,,,,,,,
1592:58,"so you don't have to, you know, unless you're just really sick, ///OR/// the child's sick.",NP,,,,,,,
131265:36,you only have to check in with the office once ///OR/// twice a week,Num,,,,,,,
131688:137,"and my mother whoe is now, he's, my stepfather is dead, but my mother who is now seventy-one, i can remember her being, i believe a sixteen ///OR/// a fourteen handicap,",Num,,,,,,,
173001:38,i've had eleven people in it before. believe it ///OR/// not.,OrNot,,,,,,,
35503:30,"but if you've narrowed it down to one ///OR/// two you can have the car, uh, uh, checked at, uh, an independent service station and have them go through it from top to bottom and tell you if they can find anything wrong, because they don't have any financial interest in it.",Num,,,,,,,
138291:77,"i'd, i'd kind of like to, to look at equipment like a lathe ///OR/// like you say, a table saw and some of those things that would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth",NP,,,,,,,
169332:97,"and the view that i would rather take is that there's a different amount of information you need when you're particularly interested in a topic or, uh, particularly interested inb buying something as a, you know as a hobbyista versus when you want to go out and buy a blender because you need to mix things.",AP,,,,,,,
102122:39,"and, and drink wise they have kool-aid, milk ///OR/// water. normally.",N,,,,,,,
37241:60,"but when i run into people that, you know, just have recently had babies ///OR/// have very young children and are working full time, i, there's almost a, uh, friction between us.",NP,,,,,,,
24108:42,"i think if you're going into like, uh, law ///OR/// medicine, a very particular, very specific field, even, even engineering, you can get, you can meet a lot of the requirements at a public, um, institution.",N,,,,,,,
3096:47,"and we monitor, um, anything that comes out of a stack, ///OR/// out of a building,",NP,,,,,,,
168838:150,"and if they're, you know, if they're on some kind of, you know, contol-, controlled substance then, you know, it kinds of takes away from the job of, you know, the supervisor ///OR/// manager type person, you know, who is able to evaluate them.",AP,,,,,,,
14511:27,"but i heard on the radio this morning, ///OR/// yesterday morning, that, uh, aikman's back in practicing, doing real, real well.",AP,,,,,,,
175996:35,"and, uh, my mother hardly ever spent anything on herself ///OR/// on the house.",NP,,,,,,,
13311:70,"if there was, if there was mandatory, you could choose the option of either a mandatory military service ///OR/// voluntary,",AP,,,,,,,
150475:29,"i mean, it would only take three ///OR/// four days",Num,,,,,,,
87877:62,"and, uh, because she could claim she was married, she could get, uh, an apartment ///OR/// a condominium in a very exclusive building in new york that had a garden, an, an, an outside garden, whicha is very unusual there.",N,,,,,,,
63674:32,"you know, the differences between seventy and seventy-two ///OR/// seventy-five degrees isn't much,",Num,,,,,,,
66362:55,"i would think it wouldn't be, you know, much more than the eighteen ///OR/// nineteen percent everyone else charges.",Num,,,,,,,
159334:42,"and, you know, it was very difficult for either them ///OR/// my grandfather to take care of her since she was, uh, you know, could not do very much for herself after the stroke.",NP,,,,,,,
109014:41,i don't haved to run to the store to buy ///OR/// look for something i haven't heard of.,VP,,,,,,,
65878:34,"because i think it's all funded, either state ///OR/// federally funded",AP,,,,,,,
112292:38,and he'll just eat chips until we've got three ///OR/// four baskets coming back.,Num,,,,,,,
19289:87,"but i don't believe that he, in this first pass around, you know, being the first one to really turn things around ///OR/// attempt to is going to be allowed to get away with it either.",VP,,,,,,,
49341:37,"uh, so, the question of whether to buy here ///OR/// move to another county, say, drive twenty more miles north, buy a condominium for approximately, uh, the same price, maybe a little lower,",VP,,,,,,,
74729:93,"and it was absolutely clear that if you could get your book adopted by texas, then you had a built-in market because there were only about three ///OR/// four textbooks in each subject",Num,,,,,,,
127532:70,"by the time i get homea, all i want to do is just collapse ///OR/// sit down at my computer",VP,,,,,,,
26479:17,"it's the thirty-five ///OR/// forty thousand dollar one, whatever it is,",Num,,,,,,,
168755:23,"oh, i probably spend an hour ///OR/// two.",Num,,,,,,,
43671:48,it's hard to find movies thata aren't terrible violent ///OR/// terribly bunch of sex going on anymore.,AP,,,,,,,
120851:76,"well, um, i have gone to girl's camp a few times, as a, you know, a chaperon ///OR/// a leader, whatever",N,,,,,,,
73659:91,"is it, is it the one that needs, needs more supervision that has a bad influence on the older ///OR/// more mature one.",AP,,,,,,,
18325:82,"have you, have you, uh, done, um, done a lot of tree surgeon work on your trees ///OR/// not.",OrNot,,,,,,,
68703:60,"if i were ar-, let's say i were arrested falsely ///OR/// not and put up for a jury",OrNot,,,,,,,
55284:17,"there's probably five ///OR/// six, which would be an equivalent of our joint chiefs of staffs, that are in positions over some of these soviet states.",Num,,,,,,,
56808:39,"and you had to vote for, you know, yes ///OR/// no on each of them",OrNot,,,,,,,
120949:44,"now is there anything, uh, are there any mountains ///OR/// big rocks a person could hike around this area.",NP,,,,,,,
132428:45,"and, uh, it does going to start whether you are there ///OR/// not.",OrNot,,,,,,,
45930:44,"i hadn't heard, you know, whether they have a new one ///OR/// not.",OrNot,,,,,,,
59982:90,"and there's, you know, there's people in our prisons that are not being rehabilitated in any way, shape, ///OR/// form,",N,,,,,,,
51633:46,it's hard to tell how much has been that ///OR/// how much is just her.,VP,,,,,,,
86259:83,"you, you don't havef to worry about filling out forms, uh, you know, for reimbursement and all or, you know, getting paid eight percent of, of whatever.",VP,,,,,,,
37930:95,"i mean, i'd, i'd be afraid to be in school, i mean b-, teaching, ///OR/// even being a student",VP,,,,,,,
90727:39,and i have a problem when they compare the kids in japan ///OR/// germany to the kids here.,N,,,,,,,
174581:58,"and, of course, you have some savings in terms of taxpayer money keeping people in jail ///OR/// not.",OrNot,,,,,,,
163620:59,"i find myself, uh, listening to a lot of, uh, uh, either old timer ///OR/// new england, uh, dance bands as well as, uh, just more popular folk music and new artists coming up.",AP,,,,,,,
8915:55,"do you find you do most of your, your, uh, crocheting ///OR/// your knit work around christmas time.",NP,,,,,,,
105339:114,"but, uh, in the long run, it seems to me, it's kind of like what they keep talking about the, uh, the aids testing with doctors ///OR/// dentists and things and how that, you know,",N,,,,,,,
46151:81,"and they had to kick. and, uh, to know whether we were going to win the game ///OR/// lose a game because they got one point ahead of us.",VP,,,,,,,
36973:48,"and the russian people are all realizing that the communist system does not work to their satisfaction ///OR/// their way of surviving in this world,",NP,,,,,,,
79279:17,"so i was only fifteen ///OR/// sixteen,",Num,,,,,,,
45511:60,"you know, you can't roll around and tussle around with it like you can a dog ///OR/// a cat",N,,,,,,,
105465:58," to learn the maneuvers you had to make to work your way down a lake OR work back up against the, the wind, as it were, tacking back and forth",Adv,,,,,,,
108877:61,"you know if it's informal i'd probably choose something, i mean, just like hamburgers OR steaks out on the grill because that's a lot of fun, especially this time of year where it's so nice out.",N,,,,,,,
138712:57,"uh, i don't remember what they call it, sort of like a positive, negatives OR some, some kind of word they use when a, uh, you get a, uh, a positive indication of drugs, but there's not really, there weren't really any there.",NP,,,,,,,
107841:9,right OR wrong i'm going to cast a ballot,AP,,,,,,,
73408:63,"they had stayed with this family from the time these children were small, you know, four OR five years old, up until they were well into grade school.",Num,,,,,,,
24200:82,"the only field i'm not familiar with really is education, which is required, mumblex requires about four OR five different fields really.",Num,,,,,,,
43724:70,"if i ever get the hankeringa to see something, i've got, i don't know, maybe about thirty OR forty movies",Num,,,,,,,
147886:19,usually involving the prime minister OR people very close to him.,NP,,,,,,,
2178:23,"when i retired from there, OR left, i took the money i that i had in mine and put it in an i r a",VP,,,,,,,
59686:38,"but whether it be the, your state police OR your county police for you to be able purchase a handgun. you got to go through their course and get certified that you know how to properly handle the weapon, how to safely handle the weapon, how to properly maintain it, the three basics.",AP,,,,,,,
112263:70,"but our favorite when you have a little more to spend, is to go to taiwan OR may dragon.",NP,,,,,,,
150084:23,"i think they test four OR five a day, actually exploding the air bags",Num,,,,,,,
165010:22,it's probably a japanesec OR a burmesef company owning and hiring people in the u s.,AP,,,,,,,
29489:84,"againd not having, uh, lived through another war, i don't know if that's a common thing that people thought of, OR if that was a new concern with people.",NP,,,,,,,
84000:35,"it almost costs so much to fix anything OR do anything with it, you're just better off buying another car.",VP,,,,,,,
166934:41,so you got to give them either more time in the system OR a different process that will hopefully work better.,NP,,,,,,,
89690:14,"whatever you ask OR scream when i'm on the phone, the answer is no.",VP,,,,,,,
144961:19,"and even in the last five OR six years, boy we see more and more women being involved",Num,,,,,,,
59327:20,"because if you have two OR three kids, by the, e-, way the inflation's going i think a woman's always going to have to work",Num,,,,,,,
120009:68,"and there really is a lot we could be doing stateside without, uh, hurting our international aspects OR straining any international relations i think,",VP,,,,,,,
56764:49,"um, it's a problem if those voting don't represent the population demographically, OR in terms of their opinions.",AP,,,,,,,
14175:23,"but i don't anymore, maybe once OR twice a year.",Num,,,,,,,
14463:19,and then they won five OR six in a row.,Num,,,,,,,
159146:81,"you know some of the health insurance is written that way. you know, that, uh, if you buy an accident and death OR dismemberment policy, you know, it s-, pre specified in the policy so much",AP,,,,,,,
19728:70,where's some reference to this goddamn state of texas and the role that they played either leading up to OR in the civil war.,Adv,,,,,,,
153155:30,"uh, cause he has had him for six OR seven years.",Num,,,,,,,
168937:102,"and, so, uh, one of the things that would fulfill the, at least the nominal, uh, qualifications set forth in the charge is military service OR draft.",N,,,,,,,
98949:15,they can find guilt OR innocence,N,,,,,,,
9568:46,"i think i've actually seen a number of star treks, one way OR another over the years. uh, although i never watched it regularly.",AP,,,,,,,
173714:78,"uh, people are, uh, reluctant to pass, uh, school tax levies even, uh, when the money is needed OR would be well spent because it's, uh, they don't have kids in the schools.",VP,,,,,,,
91801:40,"i don't know if i want to take that responsibility OR not,",OrNot,,,,,,,
137872:18,and they had like three OR four basic packages that they they offer.,Num,,,,,,,
95903:41,"however, this isn't a problem that we haved either alcohol OR drug,",N,,,,,,,
22753:43,"and then i was fi-, fished for another half hour OR forty-five minutes, caught a few white fish and so forth,",Num,,,,,,,
3218:18,i listen to heavy metal OR classic rock.,NP,,,,,,,
110752:48,"well, but why, if you're going to do teachers OR professionals, why not do the kids, when we see them and they're, you know, under the influence.",N,,,,,,,
52200:60,"i guess you could do that, you know, get all of david carradine's movies, or, uh, uh, segal,",NP,,,,,,,
60448:27,"and she would sit like on my neck OR my shoulder while i was working, and things like that. yeah, much more than you would think.",N,,,,,,,
10770:28,there was cartoon in cosmo about a year OR two ago,Num,,,,,,,
137109:71,"if you purchase on your credit card you know, then they put an extended warranty on it if it doesn't work OR if you have a problem with it in a certain period of time,",Sentence,,,,,,,
29097:92,"i do see a problem with graduating people that, that can't read and are not, you know, productive in society OR productive to themselves",PP,,,,,,,
102873:33,"and, i don't know who was here OR whether jay called a friend",Sentence,,,,,,,
150321:38,"um, i like to play tennis in the summer time OR in the spring, fall,",NP,,,,,,,
169391:49,"something that you cared about happened, you'd find out from friends OR other channels.",NP,,,,,,,
135991:11,"either the radio OR the t v --s got to be on, the whole time.",N,,,,,,,
79226:143,"but see they're trying to find an excuse not to deal with what, you know, the issues that people really want to know about, because on those issues you have to say yes OR no.",OrNot,,,,,,,
146661:26,and i can take plastic like milk cartons OR if they have water in them,Mismatch,,,,,,,
73474:74,"there are those times when i think, gee, if i didn't have children i could be out playing bridge OR golf.",N,,,,,,,
63657:95,"i would have more problem more problem with the temperature, except that, you know, working in engineering, we do everything in centigrade, OR celsius.",N,,,,,,,
169798:47,"if someone was out to get you, i think that a company OR a boss could use this.",N,,,,,,,
46087:36,"and then i'll, uh, normally check out the eagles OR the patriots",NP,,,,,,,
58865:50,"and, um, the sticky buns, of course, would last, you know three OR four days",Num,,,,,,,
52021:19,but i rent probably four OR five movies a week.,Num,,,,,,,
39729:68,"but usually if i'm, if i'm, if i take a day off OR on the weekend especially, i try to cook, real, real food.",Mismatch,,,,,,,
153868:23,"so, it's, no fee, OR subscription either to read at my leisure",N,,,,,,,
72683:22,"have you ever read, uh, OR heard of the book this present darkness.",VP,,,,,,,
128512:74,"it's a, like it's something you either just really want to do it OR you can't talk anyone into it.",VP,,,,,,,
76699:90,"if we see a child that we have any reason, that's on drugs, such as if he's got a beeper OR if they're, if they're flashing lots of money around. we've, there are certain things to do.",Sentence,,,,,,,
110659:25,"well, i don't believe in drugs OR alcohol,",N,,,,,,,
5704:6,whether OR not they get it is hard to say.,OrNot,,,,,,,
91063:73,"in my, my, uh, father's family, we get together every year at a different location, either dallas OR oklahoma city.",AP,,,,,,,
43673:83,"i just go to be entertained and and not really interested in some of the, like the terminator OR some of the schwarzenegger stuff.",NP,,,,,,,
164042:75,"and, uh, you know, v eights seem to be a return to the days of, you know, ten OR twelve miles a gallon.",Num,,,,,,,
95313:117,"and he said, mom, i don't like that man, said, he took me by the head and dunked my head under the water and told me i had to get my face wet OR i'd never swim",VP,,,,,,,
156153:26,"well, i would probably be a junkie OR s-, watch c n n a lot,",VP,,,,,,,
72300:44,"and almost all the people that i clean for, believe it OR not, are mothers that don't work.",OrNot,,,,,,,
165235:41,"and then i can decide whether i want them to do it OR whether i can do it, see.",VP,,,,,,,
737:58,"they've got, uh, they've got a couple of kids, ten OR twelve years old,",Num,,,,,,,
22719:47,"i guess the largest one i ever caught was probably eight OR ten inches long,",Num,,,,,,,
15370:23,"oh, i've done maybe four OR five.",Num,,,,,,,
24609:54,"well, does your r-, does your job require you to drive company equipment OR to ap-, operate any type of machinery thatb might endanger someone.",VP,,,,,,,
154873:15,there's snow bird OR alta.,NP,,,,,,,
86575:41,a lot of my travel has been sort of based around conferences OR business meetings,NP,,,,,,,
60210:34,"then i would do it, you know, everyday OR two days so i would clean that pan very, very rarely,",Num,,,,,,,
41402:51,"and then, when they, when they talked to us OR when they sent us the letter, it, uh, you know, to get the information and all, it asked, you know, will you be willing to bring",VP,,,,,,,
48858:41,"well, there's, there's probably two OR three different types of, of views as far as the controversy goes.",Num,,,,,,,
77160:37,"an awful lot of people know where it is, OR have been there.",VP,,,,,,,
72570:97,"and, um, i like to read books on improve, like family, marriage, you know, things that are written by like christian authors or, um, doctors about family and, you know, how to improve your homeb and all that kind of thing.",NP,,,,,,,
119300:32,i'll probably always have a place here in richardson OR dallas.,N,,,,,,,
170139:15,so it's six OR seven dollars.,Num,,,,,,,
4874:87,"you know, and you look at our society, almost everyone out on the street that has been in prison, has been in prison three OR four times.",Num,,,,,,,
58159:41,"because, you know until the la-, past four OR five years, nobody ever really worried about that, for them.",Num,,,,,,,
82702:43,"and yet she'd getb to spend, you know, three OR four days with...",Num,,,,,,,
160767:43,"so much of it, is now just going to service debt OR you know, is going in, into, into programs that, you know,",NP,,,,,,,
13897:70,"and you have to pay that whether you're on vacation, you know, and taking care of the children OR if the children are at home, at home, sick.",Sentence,,,,,,,
24732:44,"is, is, is it doing a good job OR a bad job",AP,,,,,,,
124492:25,"there's was twins there, or, you know skip williams.",NP,,,,,,,
86413:52,"well we were there in the winter. in jan-, uh, january OR february,",N,,,,,,,
1730:76,"the one thing i do object to about rap music is, is when it becomes militant, or, if it's, uh, violence oriented.",AP,,,,,,,
